 aSCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:3E,2020-07-16 22:22:49.288619,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-44
1,DC:A6:32:55:FC:3E,2020-07-16 22:22:50.287973,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
2,DC:A6:32:55:FC:3E,2020-07-16 22:22:51.018002,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
3,DC:A6:32:55:FC:3E,2020-07-16 22:22:52.118041,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
4,DC:A6:32:55:FC:3E,2020-07-16 22:22:53.035524,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-46
5,DC:A6:32:55:FC:3E,2020-07-16 22:22:54.080617,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-51
6,DC:A6:32:55:FC:3E,2020-07-16 22:22:55.113722,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-40
7,DC:A6:32:55:FC:3E,2020-07-16 22:22:56.478126,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
8,DC:A6:32:55:FC:3E,2020-07-16 22:22:57.208108,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
9,DC:A6:32:55:FC:3E,2020-07-16 22:22:58.006894,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
10,DC:A6:32:55:FC:3E,2020-07-16 22:22:59.231313,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-44
11,DC:A6:32:55:FC:3E,2020-07-16 22:23:00.632605,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
12,DC:A6:32:55:FC:3E,2020-07-16 22:23:01.109481,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
13,DC:A6:32:55:FC:3E,2020-07-16 22:23:02.009489,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-47
14,DC:A6:32:55:FC:3E,2020-07-16 22:23:04.014595,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
15,DC:A6:32:55:FC:3E,2020-07-16 22:23:05.219575,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
16,DC:A6:32:55:FC:3E,2020-07-16 22:23:06.450850,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-49
17,DC:A6:32:55:FC:3E,2020-07-16 22:23:07.168499,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
18,DC:A6:32:55:FC:3E,2020-07-16 22:23:08.099617,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-40
19,DC:A6:32:55:FC:3E,2020-07-16 22:23:09.050887,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
20,DC:A6:32:55:FC:3E,2020-07-16 22:23:10.028443,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
21,DC:A6:32:55:FC:3E,2020-07-16 22:23:11.634077,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
22,DC:A6:32:55:FC:3E,2020-07-16 22:23:12.069669,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
23,DC:A6:32:55:FC:3E,2020-07-16 22:23:14.074842,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
24,DC:A6:32:55:FC:3E,2020-07-16 22:23:15.076027,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
25,DC:A6:32:55:FC:3E,2020-07-16 22:23:16.011677,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
26,DC:A6:32:55:FC:3E,2020-07-16 22:23:17.059841,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
27,DC:A6:32:55:FC:3E,2020-07-16 22:23:18.061073,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
28,DC:A6:32:55:FC:3E,2020-07-16 22:23:19.047353,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
29,DC:A6:32:55:FC:3E,2020-07-16 22:23:20.573722,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
30,DC:A6:32:55:FC:3E,2020-07-16 22:23:21.184948,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
31,DC:A6:32:55:FC:3E,2020-07-16 22:23:22.771279,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
32,DC:A6:32:55:FC:3E,2020-07-16 22:23:23.041885,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-47
33,DC:A6:32:55:FC:3E,2020-07-16 22:23:24.781361,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
34,DC:A6:32:55:FC:3E,2020-07-16 22:23:25.022479,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-40
35,DC:A6:32:55:FC:3E,2020-07-16 22:23:26.071373,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
36,DC:A6:32:55:FC:3E,2020-07-16 22:23:27.033977,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
37,DC:A6:32:55:FC:3E,2020-07-16 22:23:28.166522,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
38,DC:A6:32:55:FC:3E,2020-07-16 22:23:29.167734,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
39,DC:A6:32:55:FC:3E,2020-07-16 22:23:30.166445,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-41
40,DC:A6:32:55:FC:3E,2020-07-16 22:23:31.592797,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-44
41,DC:A6:32:55:FC:3E,2020-07-16 22:23:32.007709,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
42,DC:A6:32:55:FC:3E,2020-07-16 22:23:33.636585,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
43,DC:A6:32:55:FC:3E,2020-07-16 22:23:34.130298,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-40
44,DC:A6:32:55:FC:3E,2020-07-16 22:23:35.136513,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
45,DC:A6:32:55:FC:3E,2020-07-16 22:23:36.221561,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
46,DC:A6:32:55:FC:3E,2020-07-16 22:23:37.002850,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
47,DC:A6:32:55:FC:3E,2020-07-16 22:23:38.052376,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-41
48,DC:A6:32:55:FC:3E,2020-07-16 22:23:40.056754,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
49,DC:A6:32:55:FC:3E,2020-07-16 22:23:41.354233,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
50,DC:A6:32:55:FC:3E,2020-07-16 22:23:42.760465,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
