SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:3E,2020-07-17 04:22:36.500985,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-77
1,98:04:ED:C0:E4:41,2020-07-17 04:22:36.500985,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
2,98:04:ED:C0:E4:41,2020-07-17 04:22:37.013003,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
3,DC:A6:32:55:FC:3E,2020-07-17 04:22:37.013003,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-64
4,DC:A6:32:55:FC:3E,2020-07-17 04:22:38.053402,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-66
5,98:04:ED:C0:E4:41,2020-07-17 04:22:38.053402,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
6,98:04:ED:C0:E4:41,2020-07-17 04:22:39.107760,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
7,DC:A6:32:55:FC:3E,2020-07-17 04:22:39.107760,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-60
8,98:04:ED:C0:E4:41,2020-07-17 04:22:40.010205,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
9,DC:A6:32:55:FC:3E,2020-07-17 04:22:40.010205,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-65
10,DC:A6:32:55:FC:3E,2020-07-17 04:22:41.044196,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-63
11,98:04:ED:C0:E4:41,2020-07-17 04:22:41.044196,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-95
12,DC:A6:32:55:FC:3E,2020-07-17 04:22:42.024678,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-64
13,98:04:ED:C0:E4:41,2020-07-17 04:22:42.024678,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
14,98:04:ED:C0:E4:41,2020-07-17 04:22:43.009643,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
15,DC:A6:32:55:FC:3E,2020-07-17 04:22:43.009643,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-63
16,DC:A6:32:55:FC:3E,2020-07-17 04:22:44.146576,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-73
17,98:04:ED:C0:E4:41,2020-07-17 04:22:44.146576,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
18,DC:A6:32:55:FC:3E,2020-07-17 04:22:45.453492,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-74
19,98:04:ED:C0:E4:41,2020-07-17 04:22:45.453492,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
20,98:04:ED:C0:E4:41,2020-07-17 04:22:46.082896,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
21,DC:A6:32:55:FC:3E,2020-07-17 04:22:46.082896,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-63
22,98:04:ED:C0:E4:41,2020-07-17 04:22:47.023556,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
23,DC:A6:32:55:FC:3E,2020-07-17 04:22:47.023556,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-63
24,DC:A6:32:55:FC:3E,2020-07-17 04:22:48.459811,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-74
25,98:04:ED:C0:E4:41,2020-07-17 04:22:48.459811,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
26,DC:A6:32:55:FC:3E,2020-07-17 04:22:49.025980,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-73
27,98:04:ED:C0:E4:41,2020-07-17 04:22:49.025980,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
28,98:04:ED:C0:E4:41,2020-07-17 04:22:50.156055,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
29,DC:A6:32:55:FC:3E,2020-07-17 04:22:50.156055,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-64
30,DC:A6:32:55:FC:3E,2020-07-17 04:22:51.142214,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-65
31,98:04:ED:C0:E4:41,2020-07-17 04:22:51.142214,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
32,98:04:ED:C0:E4:41,2020-07-17 04:22:52.537443,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-94
33,DC:A6:32:55:FC:3E,2020-07-17 04:22:52.537443,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-64
34,98:04:ED:C0:E4:41,2020-07-17 04:22:53.077432,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
35,DC:A6:32:55:FC:3E,2020-07-17 04:22:53.077432,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-64
36,DC:A6:32:55:FC:3E,2020-07-17 04:22:54.151166,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-65
37,98:04:ED:C0:E4:41,2020-07-17 04:22:54.151166,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
38,DC:A6:32:55:FC:3E,2020-07-17 04:22:55.027438,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-66
39,98:04:ED:C0:E4:41,2020-07-17 04:22:55.027438,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
40,98:04:ED:C0:E4:41,2020-07-17 04:22:56.028140,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
41,DC:A6:32:55:FC:3E,2020-07-17 04:22:56.028140,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-76
42,98:04:ED:C0:E4:41,2020-07-17 04:22:57.636265,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
43,DC:A6:32:55:FC:3E,2020-07-17 04:22:57.636265,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-66
44,DC:A6:32:55:FC:3E,2020-07-17 04:22:58.093827,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-65
45,98:04:ED:C0:E4:41,2020-07-17 04:22:58.093827,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
46,DC:A6:32:55:FC:3E,2020-07-17 04:22:59.118776,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-64
47,98:04:ED:C0:E4:41,2020-07-17 04:22:59.118776,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
48,98:04:ED:C0:E4:41,2020-07-17 04:23:00.524997,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
49,DC:A6:32:55:FC:3E,2020-07-17 04:23:00.524997,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-74
50,98:04:ED:C0:E4:41,2020-07-17 04:23:01.087517,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
51,DC:A6:32:55:FC:3E,2020-07-17 04:23:01.087517,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-65
52,98:04:ED:C0:E4:41,2020-07-17 04:23:02.057587,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
53,DC:A6:32:55:FC:3E,2020-07-17 04:23:02.057587,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-66
54,DC:A6:32:55:FC:3E,2020-07-17 04:23:03.166110,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-65
55,98:04:ED:C0:E4:41,2020-07-17 04:23:03.166110,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-93
56,98:04:ED:C0:E4:41,2020-07-17 04:23:04.024089,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
57,DC:A6:32:55:FC:3E,2020-07-17 04:23:04.024089,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-75
58,DC:A6:32:55:FC:3E,2020-07-17 04:23:05.016433,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-63
59,98:04:ED:C0:E4:41,2020-07-17 04:23:05.016433,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
60,DC:A6:32:55:FC:3E,2020-07-17 04:23:06.007638,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-76
61,98:04:ED:C0:E4:41,2020-07-17 04:23:06.007638,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
62,98:04:ED:C0:E4:41,2020-07-17 04:23:07.377723,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
63,DC:A6:32:55:FC:3E,2020-07-17 04:23:07.377723,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-65
64,98:04:ED:C0:E4:41,2020-07-17 04:23:08.027694,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
65,DC:A6:32:55:FC:3E,2020-07-17 04:23:08.027694,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-75
66,98:04:ED:C0:E4:41,2020-07-17 04:23:09.120253,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
67,DC:A6:32:55:FC:3E,2020-07-17 04:23:09.120253,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-65
68,98:04:ED:C0:E4:41,2020-07-17 04:23:10.045291,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-92
69,DC:A6:32:55:FC:3E,2020-07-17 04:23:10.045291,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-73
70,98:04:ED:C0:E4:41,2020-07-17 04:23:11.006514,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
71,DC:A6:32:55:FC:3E,2020-07-17 04:23:11.006514,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-66
72,98:04:ED:C0:E4:41,2020-07-17 04:23:12.030256,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
73,DC:A6:32:55:FC:3E,2020-07-17 04:23:12.030256,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-63
74,98:04:ED:C0:E4:41,2020-07-17 04:23:13.407802,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
75,DC:A6:32:55:FC:3E,2020-07-17 04:23:13.407802,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-64
76,98:04:ED:C0:E4:41,2020-07-17 04:23:14.225993,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-82
77,DC:A6:32:55:FC:3E,2020-07-17 04:23:14.225993,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-63
78,98:04:ED:C0:E4:41,2020-07-17 04:23:15.039749,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-98
79,DC:A6:32:55:FC:3E,2020-07-17 04:23:15.039749,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-64
80,DC:A6:32:55:FC:3E,2020-07-17 04:23:16.172852,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-63
81,98:04:ED:C0:E4:41,2020-07-17 04:23:16.172852,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-89
82,DC:A6:32:55:FC:3E,2020-07-17 04:23:17.097930,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-66
83,98:04:ED:C0:E4:41,2020-07-17 04:23:17.097930,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-90
84,98:04:ED:C0:E4:41,2020-07-17 04:23:18.065424,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-91
85,DC:A6:32:55:FC:3E,2020-07-17 04:23:18.065424,c1286282-cafc-11ea-81a8-dca63255fc3b,1,1,1,-66
