SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:55:FC:3E,2020-07-17 07:28:41.355429,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-68
1,98:04:ED:C0:E4:41,2020-07-17 07:28:41.355429,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-100
2,DC:A6:32:55:FC:3E,2020-07-17 07:28:42.249340,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
3,98:04:ED:C0:E4:41,2020-07-17 07:28:42.249340,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-98
4,DC:A6:32:55:FC:3E,2020-07-17 07:28:43.186953,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
5,DC:A6:32:55:FC:3E,2020-07-17 07:28:44.375594,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
6,DC:A6:32:55:FC:3E,2020-07-17 07:28:45.634305,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-70
7,DC:A6:32:55:FC:3E,2020-07-17 07:28:46.091952,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-62
8,98:04:ED:C0:E4:41,2020-07-17 07:28:46.091952,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-98
9,98:04:ED:C0:E4:41,2020-07-17 07:28:47.133186,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
10,DC:A6:32:55:FC:3E,2020-07-17 07:28:47.133186,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-63
11,DC:A6:32:55:FC:3E,2020-07-17 07:28:48.309511,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-70
12,98:04:ED:C0:E4:41,2020-07-17 07:28:48.309511,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
13,DC:A6:32:55:FC:3E,2020-07-17 07:28:49.261897,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-65
14,98:04:ED:C0:E4:41,2020-07-17 07:28:49.261897,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-99
15,DC:A6:32:55:FC:3E,2020-07-17 07:28:50.171973,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-70
16,98:04:ED:C0:E4:41,2020-07-17 07:28:50.171973,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-100
17,DC:A6:32:55:FC:3E,2020-07-17 07:28:51.139611,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-63
18,98:04:ED:C0:E4:41,2020-07-17 07:28:51.139611,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-104
19,DC:A6:32:55:FC:3E,2020-07-17 07:28:52.057596,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-63
20,98:04:ED:C0:E4:41,2020-07-17 07:28:52.057596,74278bda-b644-4520-8f0c-720eaf059935,1,28336,197,-102
21,DC:A6:32:55:FC:3E,2020-07-17 07:28:53.030935,7e60bb44-cc4a-11ea-a058-dca63255fc3b,1,1,1,-69
